poro_fraction,perm_median,Текущие подвижные запасы воды в ОТЧ.РЕГ.                                               тыс.ст.м3,Поток компонента через границу региона OIL                                                    кг,Начальная дата,ntg_variance,Число инт. перфораций,Текущая масса компонента WATER                                                            млн.кг,ntg_mean,Размер образа процесса,CHECKP,Поровый объём (пл.усл.)                                                             тыс.пласт.м3,Коэффициент извлечения нефти (КИН)                                                             %,ntg_median,Текущие запасы воды в ОТЧ.РЕГ.                                                         тыс.ст.м3,Файл модели,Ср. насыщенность нефти,MBERRLIM,MINNEWTIT,poro_median,Поровый объём при P(ref)                                                            тыс.пласт.м3,Количество шагов,TOLLIN,poro_mean,MBERRCTRL,Ср. насыщенность воды,ntg_fraction,Начальные запасы летучей нефти в ОТЧ.РЕГ.                                                  ст.м3,Число скважин,Ср. давление в резервуаре [wpv]                                                         бар абс.,Начальные запасы воды в ОТЧ.РЕГ.                                                       тыс.ст.м3,no.,Поток компонента через границу региона WATER                                                  кг,Ошибка материального баланса для компонента WATER                                             кг,Ошибка материального баланса для компонента OIL                                               кг,Характеристики,perm_mean,TOLVARNEWT,perm_fraction,Информация,Макс. число участков перфорации на скважину,Начальные подвижные запасы воды в ОТЧ.РЕГ.                                             тыс.ст.м3,perm_variance,Число компонентов (включая воду),Начальная масса компонента WATER                                                          млн.кг,Ср. давление в резервуаре [whc]                                                         бар абс.,Текущие запасы летучей нефти в ОТЧ.РЕГ.                                                    ст.м3,poro_variance,total_time,Объём воды (пл.усл.)                                                                тыс.пласт.м3,Количество активных блоков,longitude
1.3320825740578,7.87253,9632.19,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.50,15.640752296758537,679,,14336.85,0.11,8.0,12295.06,'E:/Работа/Сириус/Д3/D3_aug2018.dat'.,0.124696,,,0.0918195,14335.76,57,,0.12873749444279933,,0.875211,30.0,0.00,2,389.01,12299.01,0,0.00,-14608.47,17213.79,Месторождение,14.412017065498448,,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.00.49,12547.76,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,685,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_1.dat'.,0.124699,0.0,,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-07,0.875211,30.0,0.00,2,389.00,12299.01,1,0.00,-18.22,3.66,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.02,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,683,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_2.dat'.,0.124699,0.0,0.0,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-07,0.875211,30.0,0.00,2,389.00,12299.01,2,0.00,-26.74,2.80,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.03,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,683,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_3.dat'.,0.124699,0.0,,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-06,0.875211,30.0,0.00,2,389.00,12299.01,3,0.00,-18.22,3.66,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.02,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,680,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_4.dat'.,0.124699,0.0,0.0,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-06,0.875211,30.0,0.00,2,389.00,12299.01,4,0.00,-26.74,2.80,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.02,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,683,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_5.dat'.,0.124699,0.0,,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-05,0.875211,30.0,0.00,2,389.00,12299.01,5,0.00,-18.22,3.66,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.02,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,678,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_6.dat'.,0.124699,0.0,0.0,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-05,0.875211,30.0,0.00,2,389.00,12299.01,6,0.00,-26.74,2.80,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.02,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,681,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_7.dat'.,0.124699,0.0,,0.0918195,14335.76,57,0.0001,0.12873749444279933,0.0001,0.875211,30.0,0.00,2,389.00,12299.01,7,0.00,-18.22,3.66,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.02,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,687,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_8.dat'.,0.124699,0.0,0.0,0.0918195,14335.76,57,0.0001,0.12873749444279933,0.0001,0.875211,30.0,0.00,2,389.00,12299.01,8,0.00,-26.74,2.80,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.06,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,680,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_9.dat'.,0.124699,0.0,,0.0918195,14335.76,57,0.0001,0.12873749444279933,0.001,0.875211,30.0,0.00,2,389.00,12299.01,9,0.00,-18.22,3.66,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.03,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,683,1.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_10.dat'.,0.124699,0.0,0.0,0.0918195,14335.76,57,0.0001,0.12873749444279933,0.001,0.875211,30.0,0.00,2,389.00,12299.01,10,0.00,-26.74,2.80,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.07,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,687,2.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_11.dat'.,0.124699,0.0,,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-07,0.875211,30.0,0.00,2,389.00,12299.01,11,0.00,-1.95,1.46,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.03,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,686,2.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_12.dat'.,0.124699,0.0,0.0,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-07,0.875211,30.0,0.00,2,389.00,12299.01,12,0.00,-31.17,1.16,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.00,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,689,2.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_13.dat'.,0.124699,0.0,,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-06,0.875211,30.0,0.00,2,389.00,12299.01,13,0.00,9.95,1.82,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.05,12547.75,197961,56
1.3320825740578,7.87253,9632.18,0.00,01 ЯНВ 2009,19.024160857479597,11,14188.48,15.640752296758537,685,2.0,14336.84,0.11,8.0,12295.04,'E:/Работа/Сириус/Д3/D3_aug2018_14.dat'.,0.124699,0.0,0.0,0.0918195,14335.76,57,0.0001,0.12873749444279933,1e-06,0.875211,30.0,0.00,2,389.00,12299.01,14,0.00,3.39,2.96,Месторождение,14.412017065498448,1e-05,3.3522935988275435,расчёт начальных данных по отчётным регионам завершён.,8,9635.40,44.798211837812055,3,14193.06,382.75,0.00,0.33858612803666904,00.01.00,12547.75,197961,56
