,Начальные запасы воды в ОТЧ.РЕГ.                                                       тыс.ст.м3,Ср. насыщенность нефти,Ср. давление в резервуаре [wpv]                                                         бар абс.,Ошибка материального баланса для компонента WATER                                             кг,Ср. давление в резервуаре [whc]                                                         бар абс.,Текущие запасы воды в ОТЧ.РЕГ.                                                         тыс.ст.м3,Текущая масса компонента WATER                                                            млн.кг,MBERRCTRL,Текущие подвижные запасы воды в ОТЧ.РЕГ.                                               тыс.ст.м3,Закачка компонента WATER                                                                      кг,Начальные запасы летучей нефти в ОТЧ.РЕГ.                                                  ст.м3,Объём воды (пл.усл.)                                                                тыс.пласт.м3,Поровый объём при P(ref)                                                            тыс.пласт.м3,TOLVARNEWT,Характеристики,Ср. насыщенность воды,Поровый объём (пл.усл.)                                                             тыс.пласт.м3,MBERRLIM,Закачка компонента OIL                                                                        кг,MINNEWTIT,Начальные подвижные запасы воды в ОТЧ.РЕГ.                                             тыс.ст.м3,Текущие запасы летучей нефти в ОТЧ.РЕГ.                                                    ст.м3,Поток компонента через границу региона OIL                                                    кг,Начальная масса компонента WATER                                                          млн.кг,Добыча компонента OIL                                                                         кг,TOLLIN,Коэффициент извлечения нефти (КИН)                                                             %,CHECKP,Ошибка материального баланса для компонента OIL                                               кг,no.,Поток компонента через границу региона WATER                                                  кг,Добыча компонента WATER                                                                       кг
0,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,,3709.57,0.00,0.00,4330.65,5042.06,,Месторождение,0.858904,5042.06,,0.00,,3709.57,0.00,0.00,4953.67,0.00,,0.00,,0.00,0,0.00,0.00
1,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,1,0.00,0.00
2,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,2,0.00,0.00
3,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,3,0.00,0.00
4,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,4,0.00,0.00
5,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,5,0.00,0.00
6,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,6,0.00,0.00
7,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,7,0.00,0.00
8,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,8,0.00,0.00
9,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,9,0.00,0.00
